recommendation_id,product_id,product_name,category,zone_id,zone_name,forecast_month,forecast_method,drought_risk,humidity_mean,rainfall,weather_reference_period,predicted_quantity,stock_quantity,climate_score,stock_score,demand_score,final_score,priority,recommendation_reason
109,22,Mildew Protection Spray,Climate-adapted products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.25,34,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
110,22,Mildew Protection Spray,Climate-adapted products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,2.67,34,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
111,23,Seed Germination Booster,Irrigation products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,5.17,27,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
112,23,Seed Germination Booster,Irrigation products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,5.92,27,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
113,23,Seed Germination Booster,Irrigation products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,12.33,27,35,-15,15,35,Medium,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is commercially relevant"
114,23,Seed Germination Booster,Irrigation products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,7.5,27,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
115,23,Seed Germination Booster,Irrigation products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,7.17,27,35,-15,5,25,Low,"low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock is low, recommendation priority reduced; predicted demand is limited but present"
116,24,Foliar Nutrition Mix,Pesticides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,7.58,5,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
117,24,Foliar Nutrition Mix,Pesticides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.0,5,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
118,24,Foliar Nutrition Mix,Pesticides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.33,5,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
119,24,Foliar Nutrition Mix,Pesticides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,4.08,5,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
120,24,Foliar Nutrition Mix,Pesticides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.0,5,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
121,25,Micro Elements Pack,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,10.17,65,0,10,15,25,Low,stock is available but should be monitored; predicted demand is commercially relevant
122,25,Micro Elements Pack,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.92,65,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
123,25,Micro Elements Pack,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.83,65,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
124,25,Micro Elements Pack,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,7.0,65,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
125,25,Micro Elements Pack,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,8.42,65,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
126,26,Crop Stress Reducer,Climate-adapted products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,6.58,57,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
127,26,Crop Stress Reducer,Climate-adapted products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,5.17,57,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
128,26,Crop Stress Reducer,Climate-adapted products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,4.92,57,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
129,26,Crop Stress Reducer,Climate-adapted products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.42,57,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
130,26,Crop Stress Reducer,Climate-adapted products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,3.5,57,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
131,27,Irrigation Filter Pack,Fungicides,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,13.92,6,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
132,27,Irrigation Filter Pack,Fungicides,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,1.75,6,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
133,27,Irrigation Filter Pack,Fungicides,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,7.75,6,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
134,27,Irrigation Filter Pack,Fungicides,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,3.83,6,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
135,27,Irrigation Filter Pack,Fungicides,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.5,6,0,-15,30,15,Low,"stock is low, recommendation priority reduced; validated demand forecast indicates future stock pressure"
136,28,Soil Moisture Sensor,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,5.83,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
137,28,Soil Moisture Sensor,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,2.75,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
138,28,Soil Moisture Sensor,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,7.5,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
139,28,Soil Moisture Sensor,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.17,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
140,28,Soil Moisture Sensor,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,5.67,57,0,10,5,15,Low,stock is available but should be monitored; predicted demand is limited but present
141,29,Climate Smart Pack,Seeds,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,5.5,14,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
142,29,Climate Smart Pack,Seeds,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.08,14,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
143,29,Climate Smart Pack,Seeds,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,5.67,14,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
144,29,Climate Smart Pack,Seeds,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,3.0,14,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
145,29,Climate Smart Pack,Seeds,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.83,14,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
146,30,Bio Stimulant Plus,Climate-adapted products,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,6.58,70,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
147,30,Bio Stimulant Plus,Climate-adapted products,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.33,70,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
148,30,Bio Stimulant Plus,Climate-adapted products,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,3.5,70,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
149,30,Bio Stimulant Plus,Climate-adapted products,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,3.83,70,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
150,30,Bio Stimulant Plus,Climate-adapted products,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,3.83,70,15,10,5,30,Low,medium drought risk increases climate-related product relevance; stock is available but should be monitored; predicted demand is limited but present
